월(Monthly),시도명,시군구,승용_관용,승용_자가용,승용_영업용,승용_합계,승합_관용,승합_자가용,승합_업무용,승합_합계,화물_관용,화물_자가용,화물_영업용,화물_합계,특수_관용,특수_자가용,특수영업용,특수_합계,총계_관용,총계_자가용,총계_영업용,총계_합계
25-Mar,Jeonnam,계,"2,398","769,067","212,781","984,246","1,684","25,617","7,574","34,875","2,764","234,238","21,185","258,187",242,"4,140","5,201","9,583","7,088","1,033,062","246,741","1,286,891"
25-Mar,Gyeongbuk,계,"2,742","1,163,261","13,300","1,179,303","1,764","35,085","5,192","42,041","3,076","296,806","24,929","324,811",399,"5,260","5,407","11,066","7,981","1,500,412","48,828","1,557,221"
25-Mar,Gyeongnam,계,"2,653","1,508,048","121,860","1,632,561","1,897","36,402","6,980","45,279","2,774","269,275","27,692","299,741",335,"5,292","5,736","11,363","7,659","1,819,017","162,268","1,988,944"
25-Mar,Jeju,계,853,"331,113","268,828","600,794",498,"9,734","6,288","16,520","1,037","85,881","4,348","91,266",83,"1,384",721,"2,188","2,471","428,112","280,185","710,768"
25-Mar,Gangwon,계,"2,074","666,742","12,026","680,842","1,692","19,433","2,967","24,092","2,723","153,581","9,362","165,666",282,"3,301","1,982","5,565","6,771","843,057","26,337","876,165"
25-Mar,Jeonbuk,계,"1,980","761,802","12,540","776,322","1,390","22,793","3,902","28,085","2,306","175,755","16,568","194,629",210,"3,307","2,587","6,104","5,886","963,657","35,597","1,005,140"
25-Apr,Seoul,계,"4,804","2,657,685","111,679","2,774,168","3,701","65,451","14,562","83,714","3,914","238,629","59,389","301,932",431,"6,081","5,146","11,658","12,850","2,967,846","190,776","3,171,472"
25-Apr,Busan,계,"1,922","1,192,674","145,875","1,340,471","1,281","27,191","6,325","34,797","1,614","145,006","36,254","182,874",153,"3,298","9,049","12,500","4,970","1,368,169","197,503","1,570,642"
25-Apr,Daegu,계,"1,110","1,035,937","31,252","1,068,299","1,023","20,973","3,904","25,900","1,463","137,194","20,756","159,413",161,"3,007","2,238","5,406","3,757","1,197,111","58,150","1,259,018"
25-Apr,Incheon,계,"1,765","1,277,524","223,909","1,503,198","1,183","29,031","7,378","37,592","1,360","163,235","35,552","200,147",146,"4,222","5,398","9,766","4,454","1,474,012","272,237","1,750,703"
25-Apr,Gwangju,계,916,"602,243","13,650","616,809",611,"13,308","2,282","16,201",840,"76,512","14,733","92,085",93,"2,119","1,960","4,172","2,460","694,182","32,625","729,267"
25-Apr,Daejeon,계,735,"599,957","33,079","633,771",557,"13,294","2,254","16,105",909,"71,880","12,508","85,297",82,"2,147","1,719","3,948","2,283","687,278","49,560","739,121"
25-Apr,Ulsan,계,769,"510,841","7,421","519,031",518,"9,969","1,973","12,460",665,"62,505","10,430","73,600",56,"1,500","2,300","3,856","2,008","584,815","22,124","608,947"
