"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20250301","7호선","남성","7763","7169","20250304",""
"20250301","7호선","숭실대입구(살피재)","8347","7903","20250304",""
"20250301","7호선","상도","7839","7232","20250304",""
"20250301","7호선","장승배기","6276","5764","20250304",""
"20250301","7호선","신대방삼거리","10322","9325","20250304",""
"20250301","7호선","보라매","4876","4806","20250304",""
"20250301","7호선","신풍","7788","7266","20250304",""
"20250301","7호선","대림(구로구청)","8773","9374","20250304",""
"20250301","7호선","남구로","8318","8604","20250304",""
"20250301","7호선","가산디지털단지","13215","12451","20250304",""
"20250301","7호선","철산","15026","14984","20250304",""
"20250301","7호선","광명사거리","16902","16830","20250304",""
"20250301","7호선","천왕","7091","6635","20250304",""
"20250301","7호선","온수(성공회대입구)","5146","5013","20250304",""
"20250301","8호선","암사역사공원","4117","3567","20250304",""
"20250301","8호선","암사","11834","10852","20250304",""
"20250301","8호선","천호(풍납토성)","14226","16581","20250304",""
"20250301","8호선","강동구청","6599","6430","20250304",""
"20250301","8호선","몽촌토성(평화의문)","5333","5339","20250304",""
"20250301","8호선","잠실(송파구청)","18530","22188","20250304",""
"20250301","8호선","석촌","6772","8349","20250304",""
"20250301","8호선","송파","6731","6464","20250304",""
"20250301","8호선","가락시장","6087","6237","20250304",""
"20250301","8호선","문정","9758","9640","20250304",""
"20250301","8호선","장지","12962","11834","20250304",""
"20250301","8호선","복정","5786","4981","20250304",""
"20250301","8호선","산성","4552","4466","20250304",""
"20250301","8호선","남한산성입구(성남법원.검찰청)","9095","7844","20250304",""
"20250301","8호선","단대오거리","8611","7889","20250304",""
"20250301","8호선","신흥","4180","4260","20250304",""
"20250301","8호선","수진","4213","3634","20250304",""
"20250301","8호선","모란","3985","3470","20250304",""
"20250301","8호선","남위례","5120","4986","20250304",""
"20250301","9호선","개화","1663","1494","20250304",""
"20250301","9호선","김포공항","5364","10581","20250304",""
"20250301","9호선","공항시장","2256","2271","20250304",""
"20250301","9호선","신방화","5064","4713","20250304",""
"20250301","9호선","마곡나루(서울식물원)","10486","10533","20250304",""
"20250301","9호선","양천향교","6411","5874","20250304",""
"20250301","9호선","가양","16152","15751","20250304",""
"20250301","9호선","증미","3725","3441","20250304",""
"20250301","9호선","등촌","8271","7720","20250304",""
"20250301","9호선","염창","13133","11977","20250304",""
"20250301","9호선","신목동","2688","2335","20250304",""
"20250301","9호선","선유도","4324","3804","20250304",""
"20250301","9호선","당산","13940","12700","20250304",""
"20250301","9호선","국회의사당","16352","12486","20250304",""
"20250301","9호선","여의도","29667","28375","20250304",""
"20250301","9호선","샛강","3311","2947","20250304",""
"20250301","9호선","노량진","22203","22007","20250304",""
"20250301","9호선","노들","3574","2856","20250304",""
"20250301","9호선","흑석(중앙대입구)","6046","5881","20250304",""
"20250301","9호선","동작(현충원)","1793","3084","20250304",""
"20250301","9호선","구반포","1026","922","20250304",""
"20250301","9호선","신반포","3225","2954","20250304",""
"20250301","9호선","고속터미널","17014","26583","20250304",""
"20250301","9호선","사평","2718","2477","20250304",""
"20250301","9호선","신논현","25913","27376","20250304",""
"20250301","9호선2~3단계","언주","5915","5766","20250304",""
"20250301","9호선2~3단계","선정릉","4826","5060","20250304",""
"20250301","9호선2~3단계","삼성중앙","3346","3172","20250304",""
"20250301","9호선2~3단계","봉은사","18816","20322","20250304",""
"20250301","9호선2~3단계","종합운동장","3665","3410","20250304",""
"20250301","9호선2~3단계","삼전","5813","5357","20250304",""
"20250301","9호선2~3단계","석촌고분","5328","4835","20250304",""
"20250301","9호선2~3단계","석촌","8017","6603","20250304",""
"20250301","9호선2~3단계","송파나루","4780","5050","20250304",""
"20250301","9호선2~3단계","한성백제","2334","1934","20250304",""
"20250301","9호선2~3단계","올림픽공원(한국체대)","16119","15417","20250304",""
"20250301","9호선2~3단계","둔촌오륜","2502","2529","20250304",""
"20250301","9호선2~3단계","중앙보훈병원","6451","5836","20250304",""
"20250301","경강선","판교","4022","3718","20250304",""
"20250301","경강선","이매","698","590","20250304",""
"20250301","경강선","삼동","1691","1491","20250304",""
"20250301","경강선","경기광주","5850","5469","20250304",""
"20250301","경강선","초월","2614","2361","20250304",""
"20250301","경강선","곤지암","2141","1906","20250304",""
"20250301","경강선","신둔도예촌","1393","1319","20250304",""
"20250301","경강선","이천","3356","3297","20250304",""
"20250301","경강선","부발","2394","2187","20250304",""
"20250301","경강선","세종대왕릉","383","400","20250304",""
"20250301","경강선","여주","3203","3557","20250304",""
"20250301","경강선","성남","808","775","20250304",""
"20250301","경부선","서울역","11026","4855","20250304",""
"20250301","경부선","남영","7190","7317","20250304",""
"20250301","경부선","용산","49839","55557","20250304",""
"20250301","경부선","노량진","10421","9811","20250304",""
"20250301","경부선","대방","6750","7543","20250304",""
"20250301","경부선","영등포","46212","48029","20250304",""
"20250301","경부선","신도림","3364","3911","20250304",""
"20250301","경부선","신길","6677","5587","20250304",""
"20250301","경부선","구로","14497","15221","20250304",""
"20250301","경부선","가산디지털단지","7849","8811","20250304",""
"20250301","경부선","금천구청","8709","8383","20250304",""
"20250301","경부선","석수","6879","6302","20250304",""
"20250301","경부선","관악","6022","5776","20250304",""
"20250301","경부선","안양","19211","19084","20250304",""
"20250301","경부선","명학","4979","4614","20250304",""
"20250301","경부선","금정","21294","21174","20250304",""
"20250301","경부선","군포","4452","4099","20250304",""
"20250301","경부선","의왕","5887","5512","20250304",""
"20250301","경부선","성균관대","12712","12232","20250304",""
"20250301","경부선","화서","12647","12331","20250304",""
"20250301","경부선","수원","45419","50029","20250304",""
"20250301","경부선","독산","9782","9370","20250304",""
"20250301","경부선","세류","3276","3309","20250304",""
"20250301","경부선","병점","13884","13958","20250304",""
"20250301","경부선","세마","2885","2618","20250304",""
"20250301","경부선","오산대","3205","2939","20250304",""
"20250301","경부선","오산","10848","10287","20250304",""
"20250301","경부선","진위","1200","989","20250304",""
"20250301","경부선","송탄","5122","4616","20250304",""
"20250301","경부선","서정리","8387","7193","20250304",""
"20250301","경부선","평택지제","4138","3753","20250304",""
"20250301","경부선","평택","15732","15008","20250304",""
"20250301","경부선","성환","3852","3526","20250304",""
"20250301","경부선","직산","995","881","20250304",""
"20250301","경부선","두정","6792","6766","20250304",""
"20250301","경부선","천안","8585","8728","20250304",""
"20250301","경부선","당정","4226","3897","20250304",""
"20250301","경부선","서동탄","1232","1206","20250304",""
"20250301","경부선","광명","3420","2999","20250304",""
"20250301","경원선","이촌(국립중앙박물관)","3129","2321","20250304",""
"20250301","경원선","서빙고","1802","1594","20250304",""
"20250301","경원선","한남","2295","2330","20250304",""
"20250301","경원선","옥수","55","49","20250304",""
"20250301","경원선","응봉","1421","1191","20250304",""
"20250301","경원선","왕십리(성동구청)","15677","15365","20250304",""
"20250301","경원선","청량리(서울시립대입구)","20496","21521","20250304",""
"20250301","경원선","외대앞","7169","6702","20250304",""
"20250301","경원선","신이문","6409","5820","20250304",""
"20250301","경원선","석계","6576","7285","20250304",""
"20250301","경원선","광운대","7406","7164","20250304",""
"20250301","경원선","월계","5038","4513","20250304",""
"20250301","경원선","녹천","3274","2713","20250304",""
"20250301","경원선","창동","7","0","20250304",""
"20250301","경원선","방학","8094","7701","20250304",""
"20250301","경원선","도봉","4774","4516","20250304",""
"20250301","경원선","도봉산","8710","6047","20250304",""
"20250301","경원선","망월사","5953","6021","20250304",""
"20250301","경원선","회룡","11023","10900","20250304",""
"20250301","경원선","의정부","18331","19141","20250304",""
"20250301","경원선","가능","4955","4663","20250304",""
"20250301","경원선","녹양","3533","3306","20250304",""
"20250301","경원선","양주","6944","6436","20250304",""
"20250301","경원선","덕계","4738","4539","20250304",""
"20250301","경원선","덕정","4937","4472","20250304",""
"20250301","경원선","지행","6156","6060","20250304",""
"20250301","경원선","동두천중앙","2671","2452","20250304",""
"20250301","경원선","보산","1622","1484","20250304",""
"20250301","경원선","동두천","1468","1483","20250304",""
"20250301","경원선","소요산","2378","2374","20250304",""
"20250301","경원선","청산","160","148","20250304",""
"20250301","경원선","전곡","1525","1200","20250304",""
"20250301","경원선","연천","1242","1141","20250304",""
"20250301","경의선","서울역","1724","1695","20250304",""
"20250301","경의선","신촌","319","368","20250304",""
"20250301","경의선","효창공원앞","2005","2148","20250304",""
"20250301","경의선","공덕","3608","2432","20250304",""
